ID Intervenant,ID Client,geometry_intervenant,Permis,geometry_client,distance,duration
78012267,480337694,POINT (1.3719853 48.7292064),1.0,POINT (1.3390499 48.7297346),3.3 km,8 mins
700168298,480337694,POINT (1.210611 48.7580989),1.0,POINT (1.3390499 48.7297346),12.8 km,14 mins
162858075,87274454,POINT (1.3746477 48.7222691),1.0,POINT (1.465217 48.6745197),11.8 km,16 mins
78007018,87274454,POINT (1.351054 48.689927),1.0,POINT (1.465217 48.6745197),14.1 km,16 mins
856089133,87274454,POINT (1.5230773 48.6454179),0.0,POINT (1.465217 48.6745197),6.1 km,22 mins
842621873,87274454,POINT (1.3798422 48.728863),1.0,POINT (1.465217 48.6745197),9.8 km,14 mins
838320706,87274454,POINT (1.3919715 48.7385156),1.0,POINT (1.465217 48.6745197),10.7 km,14 mins
776399834,87274454,POINT (1.3414973 48.7272205),1.0,POINT (1.465217 48.6745197),18.9 km,20 mins
854577575,87274454,POINT (1.3579211 48.7447023),0.0,POINT (1.465217 48.6745197),14.5 km,50 mins
648993440,87274454,POINT (1.2410824 48.7613818),1.0,POINT (1.465217 48.6745197),23.5 km,27 mins
888888888,87274454,POINT (1.3796637 48.7209265),1.0,POINT (1.465217 48.6745197),10.4 km,15 mins
480302361,87274454,POINT (1.3827051 48.7302065),1.0,POINT (1.465217 48.6745197),9.5 km,15 mins
710283561,87274454,POINT (1.374591 48.7325587),1.0,POINT (1.465217 48.6745197),10.8 km,15 mins
810259688,87274454,POINT (1.356134 48.711115),0.0,POINT (1.465217 48.6745197),13.6 km,42 mins
764144581,87274454,POINT (1.5004603 48.6603812),1.0,POINT (1.465217 48.6745197),3.5 km,5 mins
78007874,87274454,POINT (1.3803568 48.7389345),1.0,POINT (1.465217 48.6745197),10.6 km,14 mins
746414886,87274454,POINT (1.1976441 48.7694552),1.0,POINT (1.465217 48.6745197),26.8 km,33 mins
1452747150,87274454,POINT (1.2531719 48.8432071),0.0,POINT (1.465217 48.6745197),30.0 km,1 hour 37 mins
78005437,87274454,POINT (1.3562779 48.712418),1.0,POINT (1.465217 48.6745197),15.5 km,15 mins
213237245,87274454,POINT (1.2411202 48.7632262),1.0,POINT (1.465217 48.6745197),23.7 km,27 mins
609468992,87274454,POINT (1.2325806 48.6405554),1.0,POINT (1.465217 48.6745197),22.1 km,23 mins
818696864,87274454,POINT (1.3579211 48.7447023),1.0,POINT (1.465217 48.6745197),18.3 km,20 mins
813991780,87274454,POINT (1.0731951 48.6927148),1.0,POINT (1.465217 48.6745197),39.4 km,38 mins
739888851,87274454,POINT (1.303906 48.75186),1.0,POINT (1.465217 48.6745197),18.8 km,24 mins
78012267,87274454,POINT (1.3719853 48.7292064),1.0,POINT (1.465217 48.6745197),10.4 km,16 mins
700168298,87274454,POINT (1.210611 48.7580989),1.0,POINT (1.465217 48.6745197),25.6 km,30 mins
162858075,541258495,POINT (1.3746477 48.7222691),1.0,POINT (1.2034312 48.771986),19.4 km,23 mins
78007018,541258495,POINT (1.351054 48.689927),1.0,POINT (1.2034312 48.771986),20.1 km,23 mins
856089133,541258495,POINT (1.5230773 48.6454179),0.0,POINT (1.2034312 48.771986),33.7 km,1 hour 56 mins
842621873,541258495,POINT (1.3798422 48.728863),1.0,POINT (1.2034312 48.771986),17.4 km,23 mins
838320706,541258495,POINT (1.3919715 48.7385156),1.0,POINT (1.2034312 48.771986),17.2 km,19 mins
776399834,541258495,POINT (1.3414973 48.7272205),1.0,POINT (1.2034312 48.771986),15.0 km,18 mins
854577575,541258495,POINT (1.3579211 48.7447023),0.0,POINT (1.2034312 48.771986),16.9 km,57 mins
648993440,541258495,POINT (1.2410824 48.7613818),1.0,POINT (1.2034312 48.771986),4.2 km,6 mins
888888888,541258495,POINT (1.3796637 48.7209265),1.0,POINT (1.2034312 48.771986),19.3 km,22 mins
480302361,541258495,POINT (1.3827051 48.7302065),1.0,POINT (1.2034312 48.771986),18.3 km,22 mins
710283561,541258495,POINT (1.374591 48.7325587),1.0,POINT (1.2034312 48.771986),16.9 km,21 mins
810259688,541258495,POINT (1.356134 48.711115),0.0,POINT (1.2034312 48.771986),17.4 km,1 hour 0 mins
764144581,541258495,POINT (1.5004603 48.6603812),1.0,POINT (1.2034312 48.771986),30.5 km,35 mins
78007874,541258495,POINT (1.3803568 48.7389345),1.0,POINT (1.2034312 48.771986),17.3 km,19 mins
746414886,541258495,POINT (1.1976441 48.7694552),1.0,POINT (1.2034312 48.771986),2.2 km,5 mins
1452747150,541258495,POINT (1.2531719 48.8432071),0.0,POINT (1.2034312 48.771986),13.5 km,43 mins
78005437,541258495,POINT (1.3562779 48.712418),1.0,POINT (1.2034312 48.771986),17.3 km,19 mins
213237245,541258495,POINT (1.2411202 48.7632262),1.0,POINT (1.2034312 48.771986),4.4 km,6 mins
609468992,541258495,POINT (1.2325806 48.6405554),1.0,POINT (1.2034312 48.771986),20.3 km,25 mins
818696864,541258495,POINT (1.3579211 48.7447023),1.0,POINT (1.2034312 48.771986),14.7 km,18 mins
813991780,541258495,POINT (1.0731951 48.6927148),1.0,POINT (1.2034312 48.771986),16.1 km,19 mins
739888851,541258495,POINT (1.303906 48.75186),1.0,POINT (1.2034312 48.771986),10.0 km,13 mins
78012267,541258495,POINT (1.3719853 48.7292064),1.0,POINT (1.2034312 48.771986),16.8 km,22 mins
700168298,541258495,POINT (1.210611 48.7580989),1.0,POINT (1.2034312 48.771986),3.7 km,7 mins
162858075,522099746,POINT (1.3746477 48.7222691),1.0,POINT (1.3745039 48.7290588),1.8 km,5 mins
78007018,522099746,POINT (1.351054 48.689927),1.0,POINT (1.3745039 48.7290588),5.5 km,10 mins
856089133,522099746,POINT (1.5230773 48.6454179),0.0,POINT (1.3745039 48.7290588),17.8 km,1 hour 1 min
842621873,522099746,POINT (1.3798422 48.728863),1.0,POINT (1.3745039 48.7290588),0.9 km,3 mins
