ID Client 1,ID Client 2,geometry_client_1,geometry_client_2,distance_car,duration_car,distance_bike,duration_bike
552306887,197274024,POINT (1.3748625 48.7296135),POINT (1.3616833 48.7136486),2397,292,2210,528
803656603,197274024,POINT (1.3819999 48.7236),POINT (1.3616833 48.7136486),2714,290,2237,593
446362468,197274024,POINT (1.436412 48.7251381),POINT (1.3616833 48.7136486),7743,681,7110,1596
213156949,197274024,POINT (1.3400246 48.7286767),POINT (1.3616833 48.7136486),3726,364,3539,949
867813356,197274024,POINT (1.2796346 48.6692689),POINT (1.3616833 48.7136486),10750,642,9878,1955
658302934,197274024,POINT (1.3825654 48.7399113),POINT (1.3616833 48.7136486),5034,372,3687,858
78899980,197274024,POINT (1.3760534 48.7188515),POINT (1.3616833 48.7136486),1781,139,1605,476
559475456,466678534,POINT (1.3756893 48.7210523),POINT (1.421348 48.7471879),6989,576,6040,1192
559277088,466678534,POINT (1.3756893 48.7210523),POINT (1.421348 48.7471879),6989,576,6040,1192
87852633,466678534,POINT (1.4987735 48.691944),POINT (1.421348 48.7471879),12378,838,9437,1843
243033408,466678534,POINT (1.332848 48.726393),POINT (1.421348 48.7471879),8115,672,8353,1774
817127257,466678534,POINT (1.3833051 48.7249427),POINT (1.421348 48.7471879),4993,552,5505,1062
480337694,466678534,POINT (1.3390499 48.7297346),POINT (1.421348 48.7471879),7742,711,7946,1681
87274454,466678534,POINT (1.465217 48.6745197),POINT (1.421348 48.7471879),12839,899,9725,1967
541258495,466678534,POINT (1.2034312 48.771986),POINT (1.421348 48.7471879),17655,1250,21113,4106
522099746,466678534,POINT (1.3745039 48.7290588),POINT (1.421348 48.7471879),4949,484,5510,1182
192451998,466678534,POINT (1.3327037 48.7263435),POINT (1.421348 48.7471879),8126,673,8351,1774
552306887,466678534,POINT (1.3748625 48.7296135),POINT (1.421348 48.7471879),4887,475,5448,1173
803656603,466678534,POINT (1.3819999 48.7236),POINT (1.421348 48.7471879),5116,553,5360,1068
